,date,LME Copper Cash-Settlement,LME Copper 3-month,LME Copper stock,year,month,day
0,2025-03-20,9911.5,9951.0,223275.0,2025,3,20
1,2025-03-19,9914.0,9955.0,225175.0,2025,3,19
2,2025-03-18,9834.0,9888.0,227700.0,2025,3,18
3,2025-03-17,9748.0,9820.0,230975.0,2025,3,17
4,2025-03-14,9759.0,9810.0,233750.0,2025,3,14
5,2025-03-13,9702.5,9734.0,237200.0,2025,3,13
6,2025-03-12,9766.0,9785.0,240325.0,2025,3,12
7,2025-03-11,9628.0,9631.0,244175.0,2025,3,11
8,2025-03-10,9547.0,9560.0,253325.0,2025,3,10
9,2025-03-07,9664.0,9660.0,257325.0,2025,3,7
10,2025-03-06,9654.0,9647.0,259175.0,2025,3,6
11,2025-03-05,9541.0,9550.0,260150.0,2025,3,5
12,2025-03-04,9395.0,9402.5,261000.0,2025,3,4
13,2025-03-03,9360.5,9389.0,261050.0,2025,3,3
15,2025-02-28,9363.5,9377.0,262075.0,2025,2,28
16,2025-02-27,9415.5,9415.5,263650.0,2025,2,27
17,2025-02-26,9504.0,9508.0,265025.0,2025,2,26
18,2025-02-25,9463.0,9470.0,266700.0,2025,2,25
19,2025-02-24,9490.0,9510.5,267225.0,2025,2,24
20,2025-02-21,9494.0,9531.5,267750.0,2025,2,21
21,2025-02-20,9514.5,9545.0,268750.0,2025,2,20
22,2025-02-19,9433.0,9490.0,270900.0,2025,2,19
23,2025-02-18,9295.0,9376.5,263775.0,2025,2,18
24,2025-02-17,9291.0,9415.0,253975.0,2025,2,17
25,2025-02-14,9812.0,9665.0,255225.0,2025,2,14
26,2025-02-13,9362.0,9457.0,237925.0,2025,2,13
27,2025-02-12,9277.5,9399.0,241650.0,2025,2,12
28,2025-02-11,9245.0,9355.0,243300.0,2025,2,11
29,2025-02-10,9287.5,9410.0,245825.0,2025,2,10
30,2025-02-07,9288.0,9412.0,247625.0,2025,2,7
31,2025-02-06,9165.0,9285.5,249275.0,2025,2,6
32,2025-02-05,9025.0,9159.0,252325.0,2025,2,5
33,2025-02-04,8993.0,9107.0,254950.0,2025,2,4
34,2025-02-03,8866.5,8986.0,255125.0,2025,2,3
36,2025-01-31,8949.5,9052.0,256225.0,2025,1,31
37,2025-01-30,8975.0,9100.0,256275.0,2025,1,30
38,2025-01-29,8881.0,9007.0,256300.0,2025,1,29
39,2025-01-28,8890.5,9015.0,256500.0,2025,1,28
40,2025-01-27,9051.0,9185.0,255825.0,2025,1,27
41,2025-01-24,9218.0,9334.0,257625.0,2025,1,24
42,2025-01-23,9056.0,9179.0,259050.0,2025,1,23
